,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2624,PORK FRESH SHOULDER RAW,64.02,236,17.18,17.99,0.88,0.0,0.0,0.0,15.0,1.05,18.0,182.0,302.0,65.0,2.7,0.084,0.011,25.5,0.7,0.767,0.275,3.833,0.719,0.348,5.0,0.0,5.0,5.0,60.6,0.74,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,1.7,70.0,0.0,6.24,8.01,1.92,71.0,28.35,1 oz,453.6,1 lb,25.0
2625,PORK FRESH SPARERIBS COOKED BRAISED,40.42,397,29.06,30.3,1.12,0.0,0.0,0.0,47.0,1.85,24.0,261.0,320.0,93.0,4.6,0.142,0.014,37.4,0.0,0.408,0.382,5.475,0.75,0.35,4.0,0.0,4.0,4.0,99.9,1.08,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.34,2.6,104.0,0.0,11.12,13.48,2.73,121.0,85.0,3 oz,177.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",38.0
2626,PORK FRESH SPARERIBS RAW,59.75,277,15.47,23.4,0.67,0.0,0.0,0.0,15.0,0.91,16.0,141.0,242.0,81.0,2.5,0.08,0.01,22.0,0.0,0.319,0.251,4.662,0.625,0.574,0.0,0.0,0.0,0.0,59.7,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.3,91.0,0.0,7.529,8.542,3.953,80.0,85.0,3 oz,,,30.0
2627,PORK GROUND LEAN FAT RAW,64.67,218,17.99,16.0,0.91,0.44,0.0,0.0,15.0,0.88,16.0,161.0,244.0,68.0,1.91,0.032,0.01,30.2,0.0,0.332,0.338,6.416,0.639,0.551,2.0,0.0,2.0,2.0,61.5,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.4,17.0,0.0,4.93,6.68,2.05,68.0,113.0,4 oz,,,0.0
2628,PORK ORIENTAL STYLE DEHYDRATED,21.8,615,11.8,62.4,2.6,1.4,0.0,0.0,10.0,0.5,11.0,128.0,139.0,685.0,1.15,0.064,,36.3,0.0,0.45,0.14,2.1,,0.2,2.0,0.0,2.0,2.0,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,,,0.0,23.056,28.555,7.32,67.0,22.0,1 cup,,,0.0
2629,PORK PICKLED PORK HOCKS,68.02,171,19.11,10.54,2.76,0.0,0.0,0.0,19.0,1.14,6.0,60.0,47.0,1050.0,2.38,0.082,0.022,26.3,0.0,0.08,0.068,1.1,0.344,0.064,1.0,0.0,1.0,1.0,,0.51,76.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.17,,,0.0,3.231,5.134,1.198,89.0,117.0,3 oz,,,0.0
2630,PORK SAUSAGE LINK PATTY UNPREPARED,56.59,288,15.39,24.8,2.54,0.93,0.0,0.93,8.0,1.02,15.0,133.0,307.0,739.0,2.01,0.057,0.017,17.8,0.0,0.223,0.147,5.418,0.69,0.174,2.0,0.0,2.0,2.0,52.5,0.92,92.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.99,1.4,57.0,0.3,7.57,9.844,4.432,70.0,25.0,1 link,,,0.0
2631,PORK SAUSAGE REDUCED NA COOKED,58.87,271,9.41,22.35,1.24,8.13,0.0,0.0,0.0,0.85,11.0,110.0,160.0,294.0,1.31,0.047,,15.4,0.0,0.301,0.138,2.41,,0.192,2.0,0.0,2.0,2.0,39.9,0.36,29.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.07,0.8,30.0,0.0,8.235,9.722,3.401,59.0,85.0,3 oz,,,0.0
2632,PORK SAUSAGE RICE LINKS COOKED,44.1,407,13.7,37.63,2.22,2.36,0.0,0.0,15.0,1.12,14.0,116.0,212.0,689.0,1.45,0.066,0.079,16.6,0.0,0.48,0.12,3.35,,0.2,6.0,0.0,6.0,6.0,55.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.9,36.0,3.4,12.825,18.1,4.073,66.0,45.0,"2 links,  1 NLEA serving",60.0,"3 links,  1 NLEA serving",0.0
2633,PORK SKINS BARBECUE FLAVOR,2.1,538,57.9,31.8,7.0,1.6,,,43.0,1.04,0.0,220.0,180.0,2667.0,0.71,0.35,0.074,,1.5,0.084,0.432,3.355,0.43,0.156,31.0,0.0,31.0,31.0,,0.13,667.0,65.0,38.0,,324.0,,,,,,,,11.56,15.03,3.45,115.0,28.35,1 oz,14.2,.5 oz,0.0
