,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
2081,MOTHER JULY CIRCUS ANIMAL COOKIES,2.2,487,3.8,25.4,,68.3,0.8,44.2,,1.5,10.0,63.0,98.0,192.0,0.4,,,,,0.23,0.2,1.8,,0.02,51.0,,,,,,,,,,,,,,,,,,24.7,0.2,0.3,1.0,29.0,6 cookies,,,0.0
2082,MOTHER JUNGLE ANIMAL COOKIES,2.0,514,3.8,25.3,,68.3,0.8,44.2,,1.5,10.0,63.0,98.0,192.0,0.4,,,,,0.23,0.2,1.8,,0.02,51.0,,,,,,,,,,,,,,,,,,24.3,0.4,0.3,1.0,29.0,6 cookies,,,0.0
2083,MOTHER LOAF PORK,54.9,282,12.07,22.3,3.2,7.53,0.0,,43.0,1.32,16.0,129.0,225.0,1127.0,1.43,0.09,0.066,35.1,1.0,0.55,0.17,3.123,0.47,0.18,8.0,0.0,8.0,8.0,,1.05,0.0,0.0,0.0,,,,,,,1.0,40.0,,7.95,10.34,2.58,45.0,28.35,1 oz,21.0,"1 slice,  (4-1/4"" x 4-1/4"" x 1/16"")",0.0
2084,MOTHER MACAROON COOKIES,3.2,552,6.1,34.1,,55.7,4.1,25.4,,2.4,26.0,116.0,152.0,284.0,0.7,,,,,0.3,0.24,2.3,,0.21,58.0,,,,,0.1,,,,,,,,,,,,,18.1,5.4,8.1,3.0,31.0,2 cookies,,,0.0
2085,MOTHER OLD FASHIONED OATMEAL COOKIES,2.0,470,6.5,18.4,,71.2,3.0,31.3,,2.5,9.0,46.0,100.0,640.0,0.3,,,,,0.37,0.23,2.6,,0.02,65.0,,,,,,,,,,,,,,,,,,5.9,4.3,6.9,0.0,27.0,2 cookies,,,0.0
2086,MOTHER PEANUT BUTTER GAUCHOS COOKIES,3.0,482,7.4,22.0,,65.7,2.7,32.3,,2.3,7.0,33.0,178.0,434.0,0.4,,,,,0.28,0.17,4.1,,0.01,82.0,,,,,,,,,,,,,,0.45,,,,4.2,8.5,3.4,0.0,38.0,2 cookies,,,0.0
2087,MOTHER TAFFY SANDWICH COOKIES,2.5,475,3.8,20.2,,69.9,2.3,41.2,,2.1,15.0,49.0,121.0,324.0,0.5,,,,,0.26,0.17,2.1,,0.04,59.0,,,,,,,,,,,,,,,,,,10.3,5.2,1.1,0.0,38.0,2 cookies,,,0.0
2088,MOTHER VANILLA SANDWICH COOKIES,2.4,469,4.8,20.1,,68.9,1.3,30.1,,2.5,11.0,55.0,87.0,276.0,0.5,,,,,0.36,0.25,2.9,,0.02,84.0,,,,,,,,,,,,,,,,,,7.3,4.78,2.86,0.0,38.0,2 cookies,,,0.0
2089,MOUNTAIN YAM HAWAII RAW,81.44,67,1.34,0.1,0.82,16.3,2.5,0.31,26.0,0.44,12.0,34.0,418.0,13.0,0.27,0.11,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14.0,0.0,14.0,14.0,,0.0,0.0,,0.0,,,,,,0.21,0.0,0.0,1.4,0.022,0.004,0.045,0.0,68.0,".5 cup, cubes",420.0,1 yam,17.0
2090,MOUSE NUTS NATIVE,77.2,81,3.9,0.1,2.7,16.1,,,22.0,,,175.0,,,,,,,16.0,0.01,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2091,MUFFINS BLUEBERRY COMMERCIALLY MINI MUFFINS,24.96,375,4.49,16.07,1.46,53.0,1.1,31.47,44.0,1.3,10.0,146.0,121.0,336.0,0.37,0.06,0.449,8.2,0.9,0.168,0.163,1.418,0.47,0.04,48.0,36.0,12.0,73.0,92.5,0.16,73.0,21.0,21.0,0.0,2.0,1.0,0.0,37.0,1.63,0.1,4.0,39.2,2.844,4.822,8.103,30.0,28.35,1 oz,17.0,"1 mini,  (1-1/4"" dia)",0.0
2092,MUFFINS BLUEBERRY DRY MIX,30.18,293,3.48,3.25,2.09,61.0,1.4,32.73,18.0,1.62,13.0,220.0,48.0,479.0,0.33,0.088,0.276,3.1,2.3,0.232,0.232,1.857,0.553,0.082,53.0,,,,,0.0,18.0,1.0,0.0,,,,,,,,,,1.161,0.696,1.307,0.0,43.0,1 serving,356.0,"1 package,  mix + drained berries",0.0
2093,MUFFINS BLUEBERRY TOASTER TYPE,30.8,313,4.6,9.5,1.8,53.3,1.8,4.85,13.0,0.51,12.0,59.0,83.0,417.0,0.39,0.083,0.368,17.6,0.0,0.24,0.29,2.02,0.246,0.027,65.0,54.0,11.0,103.0,51.7,0.02,318.0,94.0,94.0,0.0,3.0,0.0,0.0,19.0,0.91,0.0,0.0,19.3,1.398,2.162,5.351,6.0,28.35,1 oz,33.0,"1 muffin,  toaster",0.0
2094,MUFFINS BLUEBERRY TOASTER TYPE TOASTED,26.4,333,4.9,10.1,1.9,56.7,1.9,12.95,14.0,0.54,15.0,192.0,88.0,444.0,0.48,0.1,0.47,18.7,0.0,0.204,0.278,1.934,0.205,0.028,59.0,50.0,9.0,94.0,55.6,0.01,324.0,101.0,101.0,0.0,3.0,0.0,0.0,20.0,0.98,0.0,0.0,20.8,1.551,2.371,5.477,5.0,28.35,1 oz,31.0,"1 muffin,  toaster",0.0
2095,MUFFINS CORN COMMERCIALLY PREPARED,32.6,305,5.9,8.4,2.1,51.0,3.4,17.78,74.0,2.81,32.0,284.0,69.0,467.0,0.54,0.299,0.355,15.2,0.0,0.273,0.326,2.037,0.444,0.084,62.0,28.0,34.0,82.0,51.7,0.09,208.0,52.0,49.0,12.0,20.0,0.0,0.0,263.0,0.8,0.0,0.0,2.3,1.354,2.104,3.215,26.0,28.35,1 oz,17.0,1 mini,0.0
2096,MUFFINS CORN DRY MIX PREPARED,30.5,321,7.4,10.2,2.8,49.1,2.4,,75.0,1.94,21.0,384.0,131.0,795.0,0.64,0.063,0.221,15.2,0.1,0.249,0.276,2.101,0.451,0.106,57.0,46.0,11.0,89.0,,0.16,210.0,41.0,36.0,,,,,,,,,,2.797,5.249,1.25,62.0,28.35,1 oz,,,0.0
2097,MUFFINS CORN TOASTER TYPE,23.6,346,5.3,11.3,1.9,57.9,1.6,,19.0,1.47,14.0,151.0,92.0,430.0,0.39,0.072,0.28,15.2,0.0,0.31,0.37,2.31,0.241,0.048,57.0,45.0,12.0,89.0,,0.03,97.0,18.0,16.0,,,,,,,,,,1.681,2.625,6.324,13.0,28.35,1 oz,33.0,"1 muffin,  toaster",0.0
2098,MUFFINS OAT BRAN,35.0,270,7.0,7.4,2.3,48.3,4.6,8.22,63.0,4.2,157.0,376.0,507.0,393.0,1.84,0.33,2.63,11.0,0.0,0.262,0.095,0.42,1.01,0.161,89.0,71.0,18.0,139.0,6.6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.66,0.0,0.0,13.0,1.087,1.695,4.129,0.0,28.35,1 oz,17.0,1 mini,0.0
2099,MUFFINS WHEAT BRAN DRY MIX,4.8,396,7.1,12.0,3.1,73.0,,,36.0,3.6,87.0,480.0,200.0,700.0,1.5,0.2,2.666,18.0,0.0,0.36,0.28,5.0,0.669,0.282,85.0,62.0,23.0,128.0,,0.0,0.0,0.0,0.0,,,,,,,,,,2.939,6.403,1.904,0.0,28.35,1 oz,198.0,"1 package,  (7 oz)",0.0
2100,MULBERRIES RAW,87.68,43,1.44,0.39,0.69,9.8,1.7,8.1,39.0,1.85,18.0,38.0,194.0,10.0,0.12,0.06,,0.6,36.4,0.029,0.101,0.62,,0.05,6.0,0.0,6.0,6.0,12.3,0.0,25.0,1.0,0.0,12.0,9.0,0.0,0.0,136.0,0.87,0.0,0.0,7.8,0.027,0.041,0.207,0.0,140.0,1 cup,15.0,10 fruit,0.0
2101,MULLET STRIPED COOKED DRY HEAT,70.52,150,24.81,4.86,1.34,0.0,0.0,,31.0,1.41,33.0,244.0,458.0,71.0,0.88,0.141,0.022,46.8,1.2,0.1,0.1,6.3,0.88,0.49,10.0,0.0,10.0,10.0,,0.25,141.0,42.0,42.0,,,,,,,,,,1.431,1.382,0.917,63.0,93.0,1 fillet,85.0,3 oz,0.0
2102,MULLET STRIPED RAW,77.01,117,19.35,3.79,1.2,0.0,0.0,0.0,41.0,1.02,29.0,221.0,357.0,65.0,0.52,0.051,0.016,36.5,1.2,0.09,0.08,5.2,0.76,0.425,9.0,0.0,9.0,9.0,70.2,0.22,123.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,61.0,0.1,1.116,1.078,0.715,49.0,28.35,1 oz,119.0,1 fillet,0.0
2103,MUNG BEANS MATURE SEEDS RAW,9.05,347,23.86,1.15,3.32,62.62,16.3,6.6,132.0,6.74,189.0,367.0,1246.0,15.0,2.68,0.941,1.035,8.2,4.8,0.621,0.233,2.251,1.91,0.382,625.0,0.0,625.0,625.0,97.9,0.0,114.0,6.0,0.0,0.0,68.0,0.0,0.0,0.0,0.51,0.0,0.0,9.0,0.348,0.161,0.384,0.0,207.0,1 cup,13.0,1 tbsp,0.0
2104,MUNGO BEANS MATURE SEEDS RAW,10.8,341,25.21,1.64,3.36,58.99,18.3,,138.0,7.57,267.0,379.0,983.0,38.0,3.35,0.981,1.527,8.2,0.0,0.273,0.254,1.447,0.906,0.281,216.0,0.0,216.0,216.0,,0.0,23.0,1.0,0.0,,,,,,,0.0,0.0,,0.114,0.085,1.071,0.0,207.0,1 cup,,,0.0
2105,MURRAY CHOCOLATE CREME SANDWICH COOKIES,2.5,473,4.9,19.4,,71.3,2.2,38.4,,3.2,36.0,113.0,134.0,507.0,0.3,,,,,0.31,0.22,2.8,,0.02,61.0,,,,,,,,,,,,,,,,,,6.5,4.5,7.0,0.0,29.0,3 cookies,,,0.0
2106,MURRAY CHOCOLATEY CHIP THINS COOKIES,2.5,466,7.1,16.4,,73.6,2.0,23.2,,3.3,19.0,80.0,93.0,439.0,0.5,,,,,0.52,0.33,4.0,,0.03,103.0,,,,,,,,,,,,,,,0.1,2.0,,6.5,3.3,5.4,0.0,30.0,8 cookies,,,0.0
2107,MURRAY DUPLEX CREME SANDWICH COOKIES,2.5,475,4.9,18.8,,72.6,1.8,37.6,,2.7,23.0,83.0,93.0,412.0,0.3,,,,,0.34,0.23,2.8,,0.02,67.0,,,,,,,,,,,,,,,,,,6.2,4.3,6.9,0.0,29.0,3 cookies,,,0.0
2108,MURRAY HONEY GRAHAM,3.5,445,5.9,13.2,,75.7,2.7,22.0,379.0,3.8,,45.0,76.0,477.0,,,,,,0.42,0.25,3.1,,,88.0,,,,,,,,,,,,,,,,,,3.2,5.5,3.8,0.0,31.0,8 crackers,,,0.0
2109,MURRAY JACKS VANILLA WAFERS,4.5,438,4.8,11.9,,78.1,1.1,37.6,,2.6,10.0,50.0,57.0,331.0,0.4,,,,,0.35,0.23,3.0,,0.02,92.0,,,,,,,,,,,,,,,,,,3.8,2.6,4.4,6.0,32.0,9 cookies,,,0.0
2110,MURRAY LEMON CREME SANDWICH COOKIES,2.5,479,4.7,18.8,,73.7,1.2,37.8,,2.2,10.0,51.0,50.0,308.0,0.3,,,,,0.35,0.23,2.7,,0.02,70.0,,,,,,,,,,,,,,,,,,6.1,4.3,7.0,0.0,29.0,3 cookies,,,0.0
2111,MURRAY OLD FASHIONED GINGERSNAPS COOKIES,3.0,463,5.1,16.4,,73.9,1.3,31.4,,3.2,12.0,55.0,144.0,541.0,0.4,,,,,0.37,0.24,3.2,,0.02,97.0,,,,,,,,,,,,,,,,,,5.3,3.7,6.1,0.0,30.0,5 cookies,,,0.0
2112,MURRAY SOUTHERN KITCHEN COCONUT COOKIES,3.0,511,5.7,25.5,,65.5,3.0,30.4,,2.4,17.0,65.0,104.0,202.0,0.5,,,,,0.35,0.23,2.6,,0.04,66.0,,,,,,,,,,,,,,,,,,11.5,4.7,7.3,7.0,29.0,2 cookies,,,0.0
2113,MURRAY SOUTHERN KITCHEN OATMEAL COOKIES,4.0,478,7.1,20.1,,67.7,4.5,30.9,,2.1,6.0,28.0,123.0,325.0,0.2,,,,,0.29,0.16,1.7,,0.01,39.0,,,,,,,,,,,,,,,,,,6.3,4.9,7.5,0.0,29.0,2 cookies,,,0.0
2114,MURRAY SUGAR FREE OATMEAL COOKIES,3.0,451,6.7,22.7,,66.6,8.5,1.2,,2.8,10.0,85.0,94.0,410.0,0.3,,,,,0.37,0.23,2.6,,0.02,65.0,,,,,,,,,,,,,,,,,,7.2,5.2,8.3,5.0,32.0,3 cookies,,,0.0
2115,MURRAY SUGAR FREE SHORTBREAD BITES,2.3,371,6.5,15.5,,75.3,14.9,1.2,,3.0,24.0,109.0,104.0,518.0,0.4,,,,,0.48,0.3,3.6,,0.02,95.0,,,,,,,,,,,,,,,,,,4.9,3.1,5.3,0.0,21.0,1 pouch,,,0.0
2116,MURRAY SUGAR FREE SHORTBREAD COOKIES,3.0,431,7.0,17.8,,71.6,5.7,1.3,,3.1,15.0,98.0,81.0,476.0,0.5,,,,,0.51,0.33,3.8,,0.06,100.0,,,,,,,,,,,,,,,,,,5.7,3.9,6.4,1.0,30.0,8 cookies,,,0.0
2117,MURRAY SUGAR FREE VANILLA WAFER,3.0,412,5.9,16.8,,74.0,5.6,1.4,,2.4,12.0,59.0,82.0,281.0,0.4,,,,,0.39,0.27,3.0,,0.08,77.0,,,,,,,,,,,,,,,,,,5.4,3.7,6.1,5.0,32.0,9 cookies,,,0.0
2118,MURRAY VANILLA CREME SANDWICH COOKIES,2.5,477,4.9,18.3,,73.9,1.3,36.9,,2.2,10.0,53.0,52.0,317.0,0.3,,,,,0.37,0.24,2.8,,0.02,73.0,,,,,,,,,,,,,,,,,,6.0,4.1,6.8,0.0,29.0,3 cookies,,,0.0
2119,MURRAY VANILLA SUGAR WAFER,0.4,527,3.9,25.7,,70.0,1.0,41.0,,1.8,8.0,46.0,42.0,92.0,,,,,,0.3,0.2,2.2,,,58.0,,,,,,,,,,,,,,,,,,8.6,6.5,10.1,0.0,28.0,5 cookies,,,0.0
2120,MURRAY VANILLA WAFER,4.1,461,4.0,17.4,,72.9,1.4,31.5,,,,42.0,84.0,401.0,,,,,,0.42,0.23,2.6,,,88.0,,,,,,,,,,,,,,,,,,5.7,3.9,6.6,1.0,30.0,8 cookies,,,0.0
2121,MUSH BLUE CORN,86.67,54,0.66,0.49,0.44,11.74,1.1,0.19,96.0,2.92,20.0,39.0,58.0,8.0,0.76,0.048,0.305,0.9,0.0,0.02,0.015,0.283,0.078,0.049,4.0,,4.0,,,,,,,,,,,,0.0,,,0.0,0.074,0.109,0.208,,,,,,0.0
2122,MUSHROOMS BROWN ITALIAN CRIMINI RAW,92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18.0,0.4,9.0,120.0,448.0,6.0,1.1,0.5,0.142,26.0,0.0,0.095,0.49,3.8,1.5,0.11,25.0,0.0,25.0,25.0,22.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,3.0,0.0,0.014,0.002,0.042,0.0,87.0,"1 cup, whole",72.0,"1 cup, sliced",3.0
2123,MUSHROOMS CANNED DRAINED SOLIDS,91.08,25,1.87,0.29,1.67,5.09,2.4,2.34,11.0,0.79,15.0,66.0,129.0,425.0,0.72,0.235,0.086,4.1,0.0,0.085,0.021,1.593,0.811,0.061,12.0,0.0,12.0,12.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,8.0,0.0,0.038,0.005,0.113,0.0,156.0,1 cup,132.0,1 can,0.0
2124,MUSHROOMS CHANTERELLE RAW,89.85,38,1.49,0.53,1.26,6.86,3.8,1.16,15.0,3.47,13.0,57.0,506.0,9.0,0.71,0.353,0.286,2.2,,0.015,0.215,4.085,1.075,0.044,2.0,0.0,2.0,2.0,,,,,,,,,,,,5.3,212.0,,,,,,54.0,1 cup,5.4,1 piece,0.0
2125,MUSHROOMS ENOKI RAW,88.34,37,2.66,0.29,0.91,7.81,2.7,0.22,0.0,1.15,16.0,105.0,359.0,3.0,0.65,0.107,0.075,2.2,0.0,0.225,0.2,7.032,1.35,0.1,48.0,0.0,48.0,48.0,47.7,0.0,,,0.0,,,,,,0.01,0.1,5.0,0.0,0.02,0.0,0.09,0.0,5.0,1 large,3.0,1 medium,16.0
2126,MUSHROOMS MAITAKE RAW,90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1.0,0.3,10.0,74.0,204.0,1.0,0.75,0.252,0.059,2.2,0.0,0.146,0.242,6.585,0.27,0.056,21.0,0.0,21.0,21.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,28.1,1123.0,0.0,0.03,0.03,0.09,0.0,70.0,"1 cup, diced",1.1,"1 piece, whole",0.0
2127,MUSHROOMS MOREL RAW,89.61,31,3.12,0.57,1.58,5.1,2.8,0.6,43.0,12.18,19.0,194.0,411.0,21.0,2.03,0.625,0.587,2.2,,0.069,0.205,2.252,0.44,0.136,9.0,0.0,9.0,9.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.1,206.0,,0.065,0.052,0.433,,66.0,1 cup,12.9,1 piece,0.0
2128,MUSHROOMS OYSTER RAW,89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3.0,1.33,18.0,120.0,420.0,18.0,0.77,0.244,0.113,2.6,0.0,0.125,0.349,4.956,1.294,0.11,38.0,0.0,38.0,38.0,48.7,0.0,48.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.7,29.0,0.0,0.062,0.031,0.123,0.0,148.0,1 large,15.0,1 small,11.0
2129,MUSHROOMS PORTABELLA GRILLED,90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3.0,0.4,13.0,135.0,437.0,11.0,0.65,0.389,0.067,21.9,0.0,0.072,0.403,6.255,1.262,0.122,19.0,0.0,19.0,19.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,14.0,0.0,0.064,0.009,0.232,0.0,121.0,"1 cup, sliced",,,0.0
2130,MUSHROOMS PORTABELLA RAW,92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3.0,0.31,,108.0,364.0,9.0,0.53,0.286,0.069,18.6,0.0,0.059,0.13,4.494,1.14,0.148,28.0,0.0,28.0,28.0,21.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,10.0,0.0,0.06,0.02,0.117,0.0,86.0,"1 cup, diced",84.0,"1 piece, whole",3.0
2131,MUSHROOMS SHIITAKE COOKED SALT,83.48,56,1.56,0.22,0.35,14.39,2.1,3.84,3.0,0.44,14.0,29.0,117.0,4.0,1.33,0.896,0.204,24.8,0.3,0.037,0.17,1.5,3.594,0.159,21.0,0.0,21.0,21.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,28.0,0.0,0.05,0.07,0.034,0.0,145.0,"1 cup, pieces",72.0,4 mushrooms,0.0
2132,MUSHROOMS SHIITAKE DRIED,9.5,296,9.58,0.99,4.56,75.37,11.5,2.21,11.0,1.72,132.0,294.0,1534.0,13.0,7.66,5.165,1.176,46.1,3.5,0.3,1.27,14.1,21.879,0.965,163.0,0.0,163.0,163.0,201.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,154.0,0.0,0.225,0.317,0.151,0.0,3.6,1 mushroom,15.0,4 mushrooms,0.0
2133,MUSHROOMS SHIITAKE RAW,89.74,34,2.24,0.49,0.73,6.79,2.5,2.38,2.0,0.41,20.0,112.0,304.0,9.0,1.03,0.142,0.23,5.7,,0.015,0.217,3.877,1.5,0.293,13.0,0.0,13.0,13.0,,,,,,,,,,,,0.4,18.0,,,,,,19.0,"1 piece, whole",,,0.0
2134,MUSHROOMS SHIITAKE STIR FRIED,87.74,39,3.45,0.35,0.78,7.68,3.6,0.3,2.0,0.53,19.0,111.0,326.0,5.0,0.96,0.163,0.223,6.3,0.0,0.099,0.274,3.87,1.36,0.174,14.0,0.0,14.0,14.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,21.0,0.0,0.03,0.0,0.14,0.0,89.0,"1 cup, whole",97.0,"1 cup, sliced",0.0
2135,MUSHROOMS STRAW CANNED DRAINED SOLIDS,89.88,32,3.83,0.68,0.97,4.64,2.5,,10.0,1.43,7.0,61.0,78.0,384.0,0.67,0.133,0.098,15.2,0.0,0.013,0.07,0.224,0.412,0.014,38.0,0.0,38.0,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.089,0.012,0.263,0.0,182.0,1 cup,5.5,1 piece,0.0
2136,MUSHROOMS WHITE MICROWAVED,88.52,35,3.91,0.46,1.08,6.04,2.5,0.0,6.0,0.33,14.0,127.0,488.0,17.0,0.73,0.37,0.064,18.0,0.0,0.06,0.431,5.35,1.96,0.049,16.0,0.0,16.0,16.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.0,0.0,0.06,0.02,0.28,0.0,,,,,0.0
2137,MUSHROOMS WHITE RAW,92.45,22,3.09,0.34,0.85,3.26,1.0,1.98,3.0,0.5,9.0,86.0,318.0,5.0,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17.0,0.0,17.0,17.0,17.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,7.0,0.0,0.05,0.0,0.16,0.0,70.0,"1 cup, pieces or slices",96.0,"1 cup, whole",3.0
2138,MUSHROOMS WHITE STIR FRIED,91.1,26,3.58,0.33,0.94,4.04,1.8,0.0,4.0,0.25,11.0,105.0,396.0,12.0,0.57,0.291,0.047,13.9,0.0,0.096,0.463,3.987,1.45,0.042,20.0,0.0,20.0,20.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0,0.0,0.04,0.0,0.16,0.0,108.0,"1 cup, sliced",,,0.0
2139,MUSSEL BLUE COOKED MOIST HEAT,61.15,172,23.8,4.48,3.18,7.39,0.0,,33.0,6.72,37.0,285.0,268.0,369.0,2.67,0.149,6.8,89.6,13.6,0.3,0.42,3.0,0.95,0.1,76.0,0.0,76.0,76.0,,24.0,304.0,91.0,91.0,,,,,,,,,,0.85,1.014,1.212,56.0,85.0,3 oz,,,0.0
2140,MUSSEL BLUE RAW,80.58,86,11.9,2.24,1.59,3.69,0.0,0.0,26.0,3.95,34.0,197.0,320.0,286.0,1.6,0.094,3.4,44.8,8.0,0.16,0.21,1.6,0.5,0.05,42.0,0.0,42.0,42.0,65.0,12.0,160.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.1,0.425,0.507,0.606,28.0,150.0,1 cup,28.35,1 oz,0.0
2141,MUSTARD COOKED BOILED DRAINED SALT,94.5,16,1.7,0.2,0.8,2.8,2.0,,158.0,0.8,7.0,18.0,285.0,14.0,0.11,0.05,0.27,0.6,65.0,0.041,0.062,0.43,0.119,0.097,73.0,0.0,73.0,73.0,,0.0,8200.0,410.0,0.0,,,,,,,0.0,0.0,,,,,0.0,180.0,"1 cup, chopped",,,0.0
2142,MUSTARD GREENS FROZEN UNPREPARED,93.21,20,2.49,0.27,0.63,3.41,3.3,,116.0,1.29,15.0,30.0,170.0,29.0,0.23,0.067,0.339,0.7,25.3,0.048,0.061,0.314,0.019,0.131,138.0,0.0,138.0,138.0,,0.0,5155.0,258.0,0.0,,,,,,,0.0,0.0,,0.014,0.124,0.051,0.0,146.0,"1 cup, chopped",284.0,"1 package,  (10 oz)",0.0
2143,MUSTARD GREENS RAW,90.7,27,2.86,0.42,1.36,4.67,3.2,1.32,115.0,1.64,32.0,58.0,384.0,20.0,0.25,0.165,,0.9,70.0,0.08,0.11,0.8,0.21,0.18,12.0,0.0,12.0,12.0,0.5,0.0,3024.0,151.0,0.0,10.0,1790.0,40.0,0.0,3730.0,2.01,0.0,0.0,257.5,0.01,0.092,0.038,0.0,56.0,"1 cup, chopped",,,7.0
2144,MUSTARD PREPARED YELLOW,83.72,60,3.74,3.34,3.37,5.83,4.0,0.92,63.0,1.61,48.0,108.0,152.0,1104.0,0.64,0.074,0.422,33.5,0.3,0.177,0.07,0.565,0.254,0.07,7.0,0.0,7.0,7.0,22.4,0.0,109.0,5.0,0.0,1.0,51.0,27.0,0.0,113.0,0.36,0.0,0.0,1.4,0.214,2.182,0.774,0.0,5.0,"1 tsp,  or 1 packet",249.0,1 cup,0.0
2145,MUSTARD RAW,92.2,22,2.2,0.3,1.4,3.9,2.8,,210.0,1.5,11.0,28.0,449.0,21.0,0.17,0.075,0.407,0.8,130.0,0.068,0.093,0.678,0.178,0.153,159.0,0.0,159.0,159.0,,0.0,9900.0,495.0,0.0,,,,,,,0.0,0.0,,0.015,0.138,0.057,0.0,150.0,"1 cup, chopped",,,7.0
2146,MUTTON COOKED,54.0,234,33.43,11.09,1.41,0.08,,,10.0,4.76,31.0,272.0,409.0,135.0,5.93,0.062,0.033,38.0,,0.06,0.3,6.52,0.897,0.377,0.0,,0.0,,100.6,4.44,,,,,,,,,0.8,,,,5.142,4.459,0.814,109.0,28.35,1 oz,,,0.0
2147,NABISCO NABISCO GRAHAMS CRACKERS,3.6,424,6.99,10.0,2.8,76.2,3.4,23.0,79.0,4.13,59.0,202.0,177.0,659.0,1.94,0.03,,,0.0,0.228,0.24,3.78,,0.1,46.0,,,,,,0.0,,,,,,,,,,,,1.56,3.6,0.46,0.0,28.0,1 serving,,,0.0
2148,NABISCO NABISCO RITZ CRACKERS,3.12,492,7.23,23.21,2.93,63.51,2.3,8.14,154.0,4.47,19.0,273.0,119.0,882.0,0.61,0.124,0.54,4.6,,0.442,0.265,4.88,0.37,0.06,72.0,55.0,17.0,111.0,,,,,,,,,,,3.49,,,50.0,5.45,6.276,10.896,,3.3,1 cracker,16.0,"5 cracker,  (1 NLEA serving)",0.0
2149,NANCE CANNED SYRUP DRAINED,74.85,95,0.56,1.28,0.52,22.79,7.0,15.66,42.0,0.37,16.0,7.0,194.0,8.0,0.06,0.053,0.172,,10.8,0.015,0.02,0.3,,0.015,,,,,,,,,,,,,,,,,,,,,,,11.1,"3 fruit, without pits",,,
2150,NANCE FROZEN UNSWEETENED,80.64,73,0.66,1.16,0.57,16.97,7.5,8.31,46.0,0.38,20.0,10.0,244.0,3.0,0.09,0.041,0.248,0.4,92.5,0.015,0.018,0.29,0.18,0.021,8.0,0.0,8.0,8.0,,,74.0,4.0,,3.0,40.0,5.0,0.0,569.0,1.25,,,11.9,,,,,112.0,"1 cup, without pits thawed",9.8,"3 fruit, without pits thawed",27.0
2151,NATIVE,90.4,20,3.8,0.5,3.1,0.0,,,47.0,3.3,,,102.0,656.0,,,,,0.0,0.0,0.2,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.1,0.12,0.2,7.0,,,,,0.0
